spectrum_index,spectrum_run_id,model_name,climate_key,climate_index,climate_cache_nc,phase_deg,output_nc,status,planet_class_id,separation_id,star_teff_k,star_radius_rsun,stellar_spectrum_filename,stellar_spectrum_w_unit,stellar_spectrum_f_unit,planet_radius_rearth,gravity_ms2,metallicity_xsolar,c_to_o_xsolar,cloud_fraction,cloud_model,fsed,insolation_searth,semi_major_au,picaso_tint_k
10,21932a2907b4,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000010.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
11,45f8336e6d13,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,110.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000011.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
12,7a36828d0929,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,120.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000012.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
13,00d06704b9e0,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,130.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000013.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
14,dca5c0dc0928,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,140.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000014.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
15,0334ca66365f,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,150.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000015.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
16,d416972048e9,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,160.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000016.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
17,427b40450875,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,170.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000017.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
18,249ac4f08a4f,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,180.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000018.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
19,97e63299a3bc,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,0.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000019.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
