T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision,gravity_code,pt_file,cld_file,egp_irflux_file
600.0,3.4913616938342726,1.0,5.0,60.0,CGI-1,0.6612920978228183,0.5004524814042385,0.25632728815884204,True,31,SLGRID_T600_g31_m+000_CO100_fsed3_full.pt,SLGRID_T600_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g31_m+000_CO100_fsed3_IRflux.txt
600.0,3.4913616938342726,1.0,5.0,60.0,CGI-2,0.00673390296122936,0.7297669971465726,107.64230212060387,False,31,SLGRID_T600_g31_m+000_CO100_fsed3_full.pt,SLGRID_T600_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g31_m+000_CO100_fsed3_IRflux.txt
600.0,3.4913616938342726,1.0,5.0,60.0,CGI-3,0.0017757266790040826,0.5594413027343301,314.4897773349521,False,31,SLGRID_T600_g31_m+000_CO100_fsed3_full.pt,SLGRID_T600_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g31_m+000_CO100_fsed3_IRflux.txt
600.0,3.4913616938342726,1.0,5.0,60.0,CGI-4,3.933842718350928e-05,0.3168533836051608,8054.234543068415,False,31,SLGRID_T600_g31_m+000_CO100_fsed3_full.pt,SLGRID_T600_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g31_m+000_CO100_fsed3_IRflux.txt
600.0,4.0,1.0,5.0,60.0,CGI-1,0.5579384920826176,0.44460976335484154,0.3522697666722879,True,100,SLGRID_T600_g100_m+000_CO100_fsed3_full.pt,SLGRID_T600_g100_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g100_m+000_CO100_fsed3_IRflux.txt
600.0,4.0,1.0,5.0,60.0,CGI-2,0.005472573336085597,0.7447484476031616,135.34268279655493,False,100,SLGRID_T600_g100_m+000_CO100_fsed3_full.pt,SLGRID_T600_g100_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g100_m+000_CO100_fsed3_IRflux.txt
600.0,4.0,1.0,5.0,60.0,CGI-3,0.0015593456009466492,0.6113256522252553,391.42854790379147,False,100,SLGRID_T600_g100_m+000_CO100_fsed3_full.pt,SLGRID_T600_g100_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g100_m+000_CO100_fsed3_IRflux.txt
600.0,4.0,1.0,5.0,60.0,CGI-4,4.22322837899098e-05,0.3873946418114378,9172.562942086004,False,100,SLGRID_T600_g100_m+000_CO100_fsed3_full.pt,SLGRID_T600_g100_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g100_m+000_CO100_fsed3_IRflux.txt
600.0,4.100370545117563,1.0,5.0,60.0,CGI-1,0.5506675978602711,0.4469583314817796,0.3647079681489331,True,126,SLGRID_T600_g126_m+000_CO100_fsed3_full.pt,SLGRID_T600_g126_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g126_m+000_CO100_fsed3_IRflux.txt
600.0,4.100370545117563,1.0,5.0,60.0,CGI-2,0.0058426634919421455,0.7463543281853533,126.99578403297149,False,126,SLGRID_T600_g126_m+000_CO100_fsed3_full.pt,SLGRID_T600_g126_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g126_m+000_CO100_fsed3_IRflux.txt
600.0,4.100370545117563,1.0,5.0,60.0,CGI-3,0.0016675134538861782,0.6266416142818683,375.1673964017027,False,126,SLGRID_T600_g126_m+000_CO100_fsed3_full.pt,SLGRID_T600_g126_m+000_CO100_fsed3_picaso.cld,SLGRID_T600_g126_m+000_CO100_fsed3_IRflux.txt
