wavelength_um,Fp_reflected,Fp_thermal,Fp_total,reflected_to_thermal
0.3,0.0,0.0,0.0,
0.301,11.33947859041165,1000.5022466710315,1011.8417252614431,0.011333786234005438
0.302,11.410506603205553,1125.1206973680055,1136.531203971211,0.010141584480578971
0.303,10.806722892451335,479.85837704538676,490.6650999378381,0.022520650694880327
0.304,10.38517211495924,255.9687055112907,266.3538776262499,0.04057203826622139
0.305,11.428916619705284,1256.9367016194817,1268.365618239187,0.00909267475838669
0.306,11.454506953026714,1353.3277366437844,1364.7822435968112,0.008463956396425876
0.307,11.36715539577588,1258.107390016706,1269.4745454124818,0.00903512330185497
0.308,11.185021602577784,1026.0300121303828,1037.2150337329606,0.010901261630109555
0.309,10.711375374881454,539.4119721551933,550.1233475300747,0.01985750396322257
0.31,6.523967656087163,2.89094122725678,9.414908883343942,2.2566932854175556
0.311,9.645488811313365,124.61149744066022,134.2569862519736,0.07740448521539138
0.312,10.573121036083178,541.0663077622804,551.6394287983636,0.019541266725350268
0.313,10.558747843328227,577.1443797033633,587.7031275466915,0.01829481186103751
0.314,10.395604708500711,496.2344222511089,506.6300269596096,0.020948979438673916
0.315,10.168849534233306,391.4322636498507,401.601113184084,0.02597856763112834
0.316,9.893132803931753,290.4996630673453,300.39279587127703,0.03405557410797502
0.317,9.56878708164228,203.83865625491302,213.4074433365553,0.04694294623722359
0.318,9.188138946368488,134.77930616928543,143.96744511565393,0.06817173353621517
0.319,8.735279965378748,83.04195637149041,91.77723633686917,0.105191162962265
0.32,8.157000906335783,45.244064159205266,53.40106506554105,0.18028886347682752
0.321,7.065274869662808,14.529827313028525,21.595102182691335,0.48626007160646406
0.322,3.3680597643335513,0.04318251515586042,3.4112422794894117,77.99591460055245
0.323,6.38627094976454,8.759283918751017,15.145554868515557,0.729085962848337
0.324,5.901049590022495,5.560205931001353,11.461255521023848,1.0613005459241613
0.325,5.2161761094865255,2.4456353388577785,7.661811448344304,2.132851135493779
0.326,4.469272629616146,0.7464237605567571,5.215696390172903,5.987580869990684
0.327,3.6790561177369496,0.13346375463979915,3.8125198723767486,27.56595697211
0.328,2.874337777343907,0.014457482343968122,2.888795259687875,198.81316186030992
0.329,2.1030152729086455,0.000606334791400541,2.1036216077000462,3468.4060732371977
0.32999999999999996,0.9804936028228393,3.824001029545781e-06,0.9804974268238688,256405.16183106345
0.33099999999999996,1.4181553353332264,2.261558912251379e-05,1.4181779509223489,62706.98179254834
0.33199999999999996,2.284795282135388,0.002541831377743147,2.287337113513131,898.8775975234133
0.33299999999999996,3.010820479772016,0.04137710967438501,3.052197589446401,72.76536479868966
0.33399999999999996,3.751724327120681,0.363105837071609,4.11483016419229,10.332316212203425
0.33499999999999996,4.461142249081966,1.895640172867675,6.356782421949641,2.353369754943137
0.33599999999999997,5.130984516751748,6.2262489031610455,11.357233419912793,0.8240892062870735
0.33699999999999997,5.765612116987418,15.282142615744045,21.047754732731462,0.3772777327079477
0.33799999999999997,6.363458880371536,31.688461288352652,38.05192016872419,0.20081312318911732
0.33899999999999997,6.914558076144498,59.31965969512434,66.23421777126883,0.11656435845522604
0.33999999999999997,7.403760624999367,102.95817165973249,110.36193228473185,0.0719103739474719
0.34099999999999997,7.804251341833291,163.18052906027336,170.98478040210665,0.047825873508172446
0.34199999999999997,8.041472308042907,217.34399831678365,225.38547062482655,0.03699882384754091
0.34299999999999997,7.831707794583199,179.29170629283314,187.12341408741634,0.04368137242105246
0.344,5.761307121631363,25.14194275863993,30.903249880271296,0.22915123055283834
0.345,2.3512071382834656,0.03790277606097869,2.389109914344444,62.032583959042995
0.346,7.4778377953569555,149.66063916402967,157.13847695938662,0.04996529372804004
0.347,9.073177904858426,840.3014042071705,849.374582112029,0.010797527957743953
0.348,9.761359927059814,1981.0639398592573,1990.8252997863171,0.004927332091943131
0.349,10.180601529314552,3419.2919436879934,3429.472545217308,0.002977400496061158
0.35,10.490685744831696,5156.771722262948,5167.262408007779,0.0020343513946023705
0.351,10.74275200163852,7226.461307321027,7237.204059322665,0.0014865854177832777
0.352,10.959576767121103,9673.82538204431,9684.784958811431,0.001132910336324996
0.353,11.151674554631185,12533.416218272214,12544.567892826844,0.000889755383562016
0.354,11.326101045154482,15846.168466187619,15857.494567232774,0.0007147532900033212
0.355,11.486072742164877,19651.22009991507,19662.706172657236,0.0005844966716450607
0.356,11.634720329259439,23981.10386244506,23992.73858277432,0.00048516200071505754
0.357,11.773154867392376,28865.05700691347,28876.83016178086,0.0004078687551031889
0.358,11.902415678490021,34331.749604200246,34343.65201987873,0.0003466882933642812
0.359,12.025584936485881,40424.83997021435,40436.865555150835,0.0002974800876230189
0.36,12.141446572669887,47164.66806277443,47176.8095093471,0.0002574267363974675
