wavelength_um,geometric_albedo_cloud_free,geometric_albedo_cloudy_virga,fpfs_reflected_cloud_free,fpfs_reflected_cloudy_virga
0.3,0.09424303647686116,0.0677106263491471,3.854460617922285e-10,2.7693074463036535e-10
0.301,0.10715899416142902,0.07166875459404966,4.3827123816495773e-10,2.931191549479898e-10
0.302,0.10689023949962012,0.0713418151423319,4.371720542904231e-10,2.9178200019555285e-10
0.303,0.09364444748435845,0.06684829985693991,3.829978833546736e-10,2.7340390208765953e-10
0.304,0.0851706966284168,0.06356543006241512,3.4834095783388823e-10,2.599772418167235e-10
0.305,0.102434835685278,0.06922724783474027,4.189498288811869e-10,2.831335984507099e-10
0.306,0.10144491215559374,0.06866980038401509,4.1490112522883857e-10,2.808536854452446e-10
0.307,0.09836846178371207,0.06745447858705589,4.023187029675167e-10,2.758831219112142e-10
0.308,0.09370020276945003,0.06570782222694586,3.832259177630081e-10,2.6873944487705946e-10
0.309,0.08450949057080417,0.06230139746217699,3.456366808870973e-10,2.5480745521017254e-10
0.31,0.0407415965854894,0.03757406239338258,1.6662969002341313e-10,1.5367474262802053e-10
0.311,0.06819613299484421,0.055013877492846044,2.7891642581757813e-10,2.250021138563793e-10
0.312,0.07938425376179656,0.0597273748684698,3.2467489508693815e-10,2.442799201391623e-10
0.313,0.07827006502124179,0.059081784460602575,3.2011795721444586e-10,2.416395098813248e-10
0.314,0.07514321839617849,0.057624902782838966,3.0732941853281203e-10,2.356809868308805e-10
0.315,0.07139188850356254,0.05584692916041213,2.9198679601504867e-10,2.284092248381189e-10
0.316,0.06732979219301949,0.05383634439508506,2.753731650874843e-10,2.2018610291138592e-10
0.317,0.06305515057954976,0.051601177817018735,2.5789024181718393e-10,2.110444603330846e-10
0.318,0.0585708773705232,0.049106329253565346,2.395499430212717e-10,2.008407403607638e-10
0.319,0.05381359972250686,0.046274277559880776,2.2009307912098443e-10,1.8925788805749848e-10
0.32,0.0484552920686239,0.042834278284365465,1.9817805324459063e-10,1.7518858147651788e-10
0.321,0.03998785830218057,0.036781796113669635,1.635469640864708e-10,1.5043444043889156e-10
0.322,0.017892503841126194,0.017384796142931095,7.317882995904621e-11,7.11023483416596e-11
0.323,0.03487501627547344,0.032686543587879154,1.426358718993688e-10,1.3368520339050577e-10
0.324,0.03163519531454323,0.0299519455619143,1.2938527772301214e-10,1.2250092835972672e-10
0.325,0.027446465534632238,0.026258202847539575,1.1225372659801287e-10,1.0739383253860434e-10
0.326,0.023137575496717133,0.02231561828951329,9.463073016349201e-11,9.126899458787474e-11
0.327,0.01875787706762023,0.018222573660312012,7.671813338773461e-11,7.452878765011534e-11
