case_id,tint_k,metallicity_xsolar,climate_converged,climate_converged,transmission_modulation_ppm,transmission_modulation_ppm,visible_albedo_median,visible_albedo_median,cloud_change_transmission_ppm,cloud_to_clear_albedo_ratio
,,,clear,cloudy,clear,cloudy,clear,cloudy,,
gj_1214b_low,25.0,1.0,True,False,190.10447746924945,190.09971180069175,0.07544856710595108,0.07545025025614271,-0.004765668557695335,1.0000223085773023
gj_1214b_low,25.0,100.0,True,True,151.9377141564809,91.74084766570313,0.004579459178844716,0.15608809139532165,-60.196866490777765,34.08439409535228
gj_1214b_low,50.0,1.0,True,False,190.14830962732313,190.13264508959284,0.0754277667987909,0.07543211918571165,-0.015664537730287975,1.0000577027148683
gj_1214b_low,50.0,100.0,True,True,152.5162538097177,105.84259802351144,0.004508689213442343,0.3540764303921167,-46.67365578620627,78.53201088610464
gj_1214b_low,100.0,1.0,True,False,190.65876537935387,190.64355634271095,0.0751553400870984,0.07516053850171886,-0.015209036642914953,1.0000691689321668
gj_1214b_low,100.0,100.0,True,True,154.5488339308328,92.9209928706232,0.004400501860707405,0.1559516419312601,-61.62784106020962,35.43951278006959
k2_18b_observed,25.0,1.0,True,False,154.10053126821205,154.08956457725046,0.07258442839583665,0.07258824048072715,-0.010966690961595305,1.0000525193209446
k2_18b_observed,25.0,100.0,True,True,123.8843105832799,76.47275741886217,0.0044259677444698125,0.17703387619685207,-47.411553164417725,39.99890790393887
k2_18b_observed,50.0,1.0,True,False,154.12764620352948,154.1168327510601,0.07256643949535624,0.07257018315054692,-0.01081345246939236,1.00005158934649
k2_18b_observed,50.0,100.0,True,False,123.53224006503598,76.14190693206857,0.004375492258878603,0.3688712440576458,-47.39033313296741,84.30394164431317
k2_18b_observed,100.0,1.0,True,False,154.54050278054234,154.53032333812533,0.07231617625514242,0.07232025493409774,-0.010179442417012297,1.0000564006445936
k2_18b_observed,100.0,100.0,True,True,125.09215036832873,84.81707914800027,0.004264072546115357,0.3280856235865131,-40.275071220328456,76.94184844144003
