case_id,valid_models,converged_models,median_transmission_modulation_ppm,minimum_transmission_modulation_ppm,maximum_transmission_modulation_ppm,median_temperature_1bar_k
gj_1214b_low,12,9,172.32427286576228,91.74084766570313,190.65876537935387,431.1846727042686
gj_1214b_observed,2,2,394.69743659690323,293.0274554541899,496.3674177396165,918.9816764491536
k2_18b_observed,12,8,139.5908574727896,76.14190693206857,154.54050278054234,438.59926143262527
