T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
500,3.0,1.0,5.0,60.0,CGI-1,0.8691552581877547,1.5576119370478816,0.23448668097762954,True
500,3.0,1.0,10.0,60.0,CGI-1,0.6241536059303422,0.3894029842619704,0.23448668097762954,True
500,3.0,1.0,20.0,60.0,CGI-1,0.29336879487328565,0.0973507460654926,0.23448668097762954,True
500,3.0,1.2,5.0,60.0,CGI-1,0.9053515176701905,2.2429611893489496,0.23448668097762954,True
500,3.0,1.2,10.0,60.0,CGI-1,0.7051323868884319,0.5607402973372374,0.23448668097762954,True
500,3.0,1.2,20.0,60.0,CGI-1,0.3741543693828644,0.14018507433430935,0.23448668097762954,True
500,3.5,1.0,5.0,60.0,CGI-1,0.7717316502718048,0.792754639410583,0.23448668097762954,True
500,3.5,1.0,10.0,60.0,CGI-1,0.45805397523310404,0.19818865985264575,0.23448668097762954,True
500,3.5,1.0,20.0,60.0,CGI-1,0.1744410593006931,0.04954716496316144,0.23448668097762954,True
500,3.5,1.2,5.0,60.0,CGI-1,0.8295947762643294,1.1415666807512395,0.23448668097762954,True
500,3.5,1.2,10.0,60.0,CGI-1,0.5489585583781896,0.28539167018780986,0.23448668097762954,True
500,3.5,1.2,20.0,60.0,CGI-1,0.23328922852794154,0.07134791754695247,0.23448668097762954,True
500,4.0,1.0,5.0,60.0,CGI-1,0.8085119723893737,0.9900634065841745,0.23448668097762954,True
500,4.0,1.0,10.0,60.0,CGI-1,0.5135156661911014,0.24751585164604362,0.23448668097762954,True
500,4.0,1.0,20.0,60.0,CGI-1,0.20879263230206793,0.061878962911510904,0.23448668097762954,True
500,4.0,1.2,5.0,60.0,CGI-1,0.8587581073293294,1.4256913054812113,0.23448668097762954,True
500,4.0,1.2,10.0,60.0,CGI-1,0.6031766656961878,0.3564228263703028,0.23448668097762954,True
500,4.0,1.2,20.0,60.0,CGI-1,0.2753640382632416,0.0891057065925757,0.23448668097762954,True
600,3.0,1.0,5.0,60.0,CGI-1,0.7412839543038809,1.0250454682587375,0.3577518556376486,True
600,3.0,1.0,10.0,60.0,CGI-1,0.4173548021276362,0.2562613670646844,0.3577518556376486,True
600,3.0,1.0,20.0,60.0,CGI-1,0.1518793974273154,0.0640653417661711,0.3577518556376486,True
600,3.0,1.2,5.0,60.0,CGI-1,0.8049141265061228,1.476065474292582,0.3577518556376486,True
600,3.0,1.2,10.0,60.0,CGI-1,0.5077497285656161,0.3690163685731455,0.3577518556376486,True
600,3.0,1.2,20.0,60.0,CGI-1,0.20500638402271987,0.09225409214328638,0.3577518556376486,True
600,3.5,1.0,5.0,60.0,CGI-1,0.574982558528071,0.4839826727117649,0.3577518556376486,True
600,3.5,1.0,10.0,60.0,CGI-1,0.2527337733542992,0.12099566817794123,0.3577518556376486,True
600,3.5,1.0,20.0,60.0,CGI-1,0.07796097114803031,0.030248917044485308,0.3577518556376486,False
600,3.5,1.2,5.0,60.0,CGI-1,0.6607980490090153,0.6969350487049414,0.3577518556376486,True
600,3.5,1.2,10.0,60.0,CGI-1,0.3275159258857846,0.17423376217623535,0.3577518556376486,True
600,3.5,1.2,20.0,60.0,CGI-1,0.10854055068733201,0.043558440544058837,0.3577518556376486,True
600,4.0,1.0,5.0,60.0,CGI-1,0.5485268075697078,0.4346581072039121,0.3577518556376486,True
600,4.0,1.0,10.0,60.0,CGI-1,0.23297750870763345,0.10866452680097803,0.3577518556376486,True
600,4.0,1.0,20.0,60.0,CGI-1,0.07057641522062003,0.027166131700244508,0.3577518556376486,False
600,4.0,1.2,5.0,60.0,CGI-1,0.6363052004045084,0.6259076743736336,0.3577518556376486,True
600,4.0,1.2,10.0,60.0,CGI-1,0.30429436553291567,0.1564769185934084,0.3577518556376486,True
