T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
500,3.0,1.0,5.0,0.0,CGI-1,0.9890366055014946,4.280904085924042,0.047453491653578136,True
500,3.0,1.0,5.0,0.0,CGI-2,0.19188073169652295,6.111280040516981,25.73808798348312,True
500,3.0,1.0,5.0,0.0,CGI-3,0.061483481231983744,4.336265787478197,66.19106449034071,False
500,3.0,1.0,5.0,0.0,CGI-4,0.0028048170653075344,2.075899588960296,738.0435237548519,False
500,3.0,1.0,10.0,0.0,CGI-1,0.9575428456047366,1.0702260214810104,0.047453491653578136,True
500,3.0,1.0,10.0,0.0,CGI-2,0.05603407781201236,1.5278200101292452,25.73808798348312,False
500,3.0,1.0,10.0,0.0,CGI-3,0.01611392548431215,1.0840664468695493,66.19106449034071,False
500,3.0,1.0,10.0,0.0,CGI-4,0.0007026824380972839,0.518974897240074,738.0435237548519,False
500,3.0,1.0,20.0,0.0,CGI-1,0.8493587755883562,0.2675565053702526,0.047453491653578136,True
500,3.0,1.0,20.0,0.0,CGI-2,0.01462306178963061,0.3819550025323113,25.73808798348312,False
500,3.0,1.0,20.0,0.0,CGI-3,0.004077762947284461,0.27101661171738733,66.19106449034071,False
500,3.0,1.0,20.0,0.0,CGI-4,0.0001757632388302128,0.1297437243100185,738.0435237548519,False
500,3.0,1.2,5.0,0.0,CGI-1,0.9923609413162207,6.16450188373062,0.047453491653578136,True
500,3.0,1.2,5.0,0.0,CGI-2,0.2547964230445198,8.800243258344453,25.73808798348312,True
500,3.0,1.2,5.0,0.0,CGI-3,0.0862041550913191,6.244222733968604,66.19106449034071,False
500,3.0,1.2,5.0,0.0,CGI-4,0.0040339581875461755,2.9892954081028256,738.0435237548519,False
500,3.0,1.2,10.0,0.0,CGI-1,0.9701283393704755,1.541125470932655,0.047453491653578136,True
500,3.0,1.2,10.0,0.0,CGI-2,0.07874755161795675,2.2000608145861134,25.73808798348312,False
500,3.0,1.2,10.0,0.0,CGI-3,0.023040691265261096,1.561055683492151,66.19106449034071,False
500,3.0,1.2,10.0,0.0,CGI-4,0.0010115499595676764,0.7473238520257064,738.0435237548519,False
500,3.0,1.2,20.0,0.0,CGI-1,0.890340492280128,0.38528136773316374,0.047453491653578136,True
500,3.0,1.2,20.0,0.0,CGI-2,0.02092258995376317,0.5500152036465283,25.73808798348312,False
500,3.0,1.2,20.0,0.0,CGI-3,0.0058614619171117165,0.39026392087303774,66.19106449034071,False
500,3.0,1.2,20.0,0.0,CGI-4,0.00025307949180419553,0.1868309630064266,738.0435237548519,False
500,3.5,1.0,5.0,0.0,CGI-1,0.9537867533035196,2.5185551521388954,0.12203001369159094,True
500,3.5,1.0,5.0,0.0,CGI-2,0.0768219798819772,4.269565746938708,51.30783219956187,False
500,3.5,1.0,5.0,0.0,CGI-3,0.022406295992348783,3.4215410752271636,149.28290754919243,False
500,3.5,1.0,5.0,0.0,CGI-4,0.0008187741424910163,2.0426849072029807,2492.766080045207,False
500,3.5,1.0,10.0,0.0,CGI-1,0.8376545449121586,0.6296387880347238,0.12203001369159094,True
500,3.5,1.0,10.0,0.0,CGI-2,0.020379701748804834,1.067391436734677,51.30783219956187,False
500,3.5,1.0,10.0,0.0,CGI-3,0.005697315806326017,0.8553852688067909,149.28290754919243,False
500,3.5,1.0,10.0,0.0,CGI-4,0.00020481931118966772,0.5106712268007452,2492.766080045207,False
500,3.5,1.0,20.0,0.0,CGI-1,0.563304680691998,0.15740969700868096,0.12203001369159094,True
500,3.5,1.0,20.0,0.0,CGI-2,0.005174009007515302,0.26684785918366927,51.30783219956187,False
500,3.5,1.0,20.0,0.0,CGI-3,0.0014304412080600297,0.21384631720169772,149.28290754919243,False
500,3.5,1.0,20.0,0.0,CGI-4,5.1212694809073154e-05,0.1276678067001863,2492.766080045207,False
500,3.5,1.2,5.0,0.0,CGI-1,0.9674478073608218,3.6267194190800094,0.12203001369159094,True
500,3.5,1.2,5.0,0.0,CGI-2,0.10700664751992132,6.148174675591739,51.30783219956187,True
500,3.5,1.2,5.0,0.0,CGI-3,0.03195007775336921,4.9270191483271155,149.28290754919243,False
500,3.5,1.2,5.0,0.0,CGI-4,0.0011786101583574975,2.9414662663722924,2492.766080045207,False
500,3.5,1.2,10.0,0.0,CGI-1,0.881375675073397,0.9066798547700023,0.12203001369159094,True
500,3.5,1.2,10.0,0.0,CGI-2,0.029085954761704936,1.5370436688979348,51.30783219956187,False
500,3.5,1.2,10.0,0.0,CGI-3,0.008183619907606335,1.2317547870817789,149.28290754919243,False
500,3.5,1.2,10.0,0.0,CGI-4,0.0002949132303862498,0.7353665665930731,2492.766080045207,False
500,3.5,1.2,20.0,0.0,CGI-1,0.6500429549578794,0.2266699636925006,0.12203001369159094,True
500,3.5,1.2,20.0,0.0,CGI-2,0.007433649791590656,0.3842609172244837,51.30783219956187,False
500,3.5,1.2,20.0,0.0,CGI-3,0.0020585397067954306,0.3079386967704447,149.28290754919243,False
500,3.5,1.2,20.0,0.0,CGI-4,7.374461879437665e-05,0.18384164164826827,2492.766080045207,False
500,4.0,1.0,5.0,0.0,CGI-1,0.969381682283547,3.978975600252109,0.12567757503684512,True
500,4.0,1.0,5.0,0.0,CGI-2,0.089728474268633,6.548765614929018,66.43548680112166,False
500,4.0,1.0,5.0,0.0,CGI-3,0.03226426875879731,5.959734270213104,178.75650135152551,False
500,4.0,1.0,5.0,0.0,CGI-4,0.0013056519324466753,3.743938299642921,2863.741803192819,False
500,4.0,1.0,10.0,0.0,CGI-1,0.8878300908810745,0.9947439000630273,0.12567757503684512,True
500,4.0,1.0,10.0,0.0,CGI-2,0.024050638918677286,1.6371914037322546,66.43548680112166,False
500,4.0,1.0,10.0,0.0,CGI-3,0.008266091743907049,1.489933567553276,178.75650135152551,False
500,4.0,1.0,10.0,0.0,CGI-4,0.000326732932725424,0.9359845749107303,2863.741803192819,False
500,4.0,1.0,20.0,0.0,CGI-1,0.6642900329928325,0.24868597501575682,0.12567757503684512,True
500,4.0,1.0,20.0,0.0,CGI-2,0.006123108228466443,0.40929785093306364,66.43548680112166,False
500,4.0,1.0,20.0,0.0,CGI-3,0.0020794144086835973,0.372483391888319,178.75650135152551,False
500,4.0,1.0,20.0,0.0,CGI-4,8.170325453933265e-05,0.23399614372768257,2863.741803192819,False
500,4.0,1.2,5.0,0.0,CGI-1,0.9785364752743236,5.729724864363035,0.12567757503684512,True
500,4.0,1.2,5.0,0.0,CGI-2,0.12430151347917351,9.430222485497785,66.43548680112166,True
500,4.0,1.2,5.0,0.0,CGI-3,0.04581021248930106,8.58201734910687,178.75650135152551,False
500,4.0,1.2,5.0,0.0,CGI-4,0.0018790592878714402,5.391271151485806,2863.741803192819,False
500,4.0,1.2,10.0,0.0,CGI-1,0.9193396662976966,1.4324312160907589,0.12567757503684512,True
