T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
500,3.0,1.0,5.0,60.0,CGI-1,0.8629535590722629,1.5891226545143555,0.25237001656608665,True
500,3.0,1.0,5.0,60.0,CGI-2,0.023404645523512783,2.076000782297857,86.62437197969352,False
500,3.0,1.0,5.0,60.0,CGI-3,0.005949370162613754,1.3934404958671793,232.82303247191925,False
500,3.0,1.0,5.0,60.0,CGI-4,0.00016291439768944155,0.6000501199619798,3682.6233388025807,False
500,3.0,1.0,10.0,60.0,CGI-1,0.6115296662346894,0.3972806636285889,0.25237001656608665,True
500,3.0,1.0,10.0,60.0,CGI-2,0.005955704749761345,0.5190001955744642,86.62437197969352,False
500,3.0,1.0,10.0,60.0,CGI-3,0.0014940088494069454,0.34836012396679483,232.82303247191925,False
500,3.0,1.0,10.0,60.0,CGI-4,4.0733576486919716e-05,0.15001252999049494,3682.6233388025807,False
500,3.0,1.0,20.0,60.0,CGI-1,0.28240812754193445,0.09932016590714722,0.25237001656608665,True
500,3.0,1.0,20.0,60.0,CGI-2,0.0014956067315263814,0.12975004889361605,86.62437197969352,False
500,3.0,1.0,20.0,60.0,CGI-3,0.0003739211935308232,0.08709003099169871,232.82303247191925,False
500,3.0,1.0,20.0,60.0,CGI-4,1.0183705235782035e-05,0.037503132497623735,3682.6233388025807,False
500,3.0,1.2,5.0,60.0,CGI-1,0.90066935997822,2.2883366225006716,0.25237001656608665,True
500,3.0,1.2,5.0,60.0,CGI-2,0.033359155501686895,2.989441126508914,86.62437197969352,False
500,3.0,1.2,5.0,60.0,CGI-3,0.008544725311285343,2.0065543140487385,232.82303247191925,False
500,3.0,1.2,5.0,60.0,CGI-4,0.00023457991743657374,0.8640721727452507,3682.6233388025807,False
500,3.0,1.2,10.0,60.0,CGI-1,0.6938944272726142,0.5720841556251679,0.25237001656608665,True
500,3.0,1.2,10.0,60.0,CGI-2,0.008553799521702777,0.7473602816272285,86.62437197969352,False
500,3.0,1.2,10.0,60.0,CGI-3,0.002149959437438826,0.5016385785121846,232.82303247191925,False
500,3.0,1.2,10.0,60.0,CGI-4,5.8655298875519006e-05,0.21601804318631268,3682.6233388025807,False
500,3.0,1.2,20.0,60.0,CGI-1,0.36172047123176054,0.14302103890629198,0.25237001656608665,True
500,3.0,1.2,20.0,60.0,CGI-2,0.00215225736393334,0.1868400704068071,86.62437197969352,False
500,3.0,1.2,20.0,60.0,CGI-3,0.0005383579451684077,0.12540964462804616,232.82303247191925,False
500,3.0,1.2,20.0,60.0,CGI-4,1.4664469830525324e-05,0.05400451079657817,3682.6233388025807,False
500,3.5,1.0,5.0,60.0,CGI-1,0.762454674975009,0.8100378272402946,0.25237001656608665,True
500,3.5,1.0,5.0,60.0,CGI-2,0.01340101205072492,1.1766221808105433,86.62437197969352,False
500,3.5,1.0,5.0,60.0,CGI-3,0.0037728203688853277,0.8817260733450003,232.82303247191925,False
500,3.5,1.0,5.0,60.0,CGI-4,0.000128925766799726,0.4748462577075769,3682.6233388025807,False
500,3.5,1.0,10.0,60.0,CGI-1,0.4451936582388044,0.20250945681007365,0.25237001656608665,True
500,3.5,1.0,10.0,60.0,CGI-2,0.003384267469537844,0.2941555452026358,86.62437197969352,False
500,3.5,1.0,10.0,60.0,CGI-3,0.0009458815731706907,0.22043151833625008,232.82303247191925,False
500,3.5,1.0,10.0,60.0,CGI-4,3.223455859882011e-05,0.11871156442689422,3682.6233388025807,False
500,3.5,1.0,20.0,60.0,CGI-1,0.16708845493678323,0.05062736420251841,0.25237001656608665,True
500,3.5,1.0,20.0,60.0,CGI-2,0.0008482198194409246,0.07353888630065895,86.62437197969352,False
500,3.5,1.0,20.0,60.0,CGI-3,0.0002366382671249581,0.05510787958406252,232.82303247191925,False
500,3.5,1.0,20.0,60.0,CGI-4,8.058834479434227e-06,0.029677891106723555,3682.6233388025807,False
500,3.5,1.2,5.0,60.0,CGI-1,0.8221273887379759,1.1664544712260243,0.25237001656608665,True
500,3.5,1.2,5.0,60.0,CGI-2,0.01918433795363905,1.6943359403671823,86.62437197969352,False
500,3.5,1.2,5.0,60.0,CGI-3,0.00542385750556191,1.2696855456168006,232.82303247191925,False
500,3.5,1.2,5.0,60.0,CGI-4,0.00018564257318272223,0.6837786110989107,3682.6233388025807,False
500,3.5,1.2,10.0,60.0,CGI-1,0.5360705715767362,0.2916136178065061,0.25237001656608665,True
500,3.5,1.2,10.0,60.0,CGI-2,0.004866099156459845,0.42358398509179557,86.62437197969352,False
500,3.5,1.2,10.0,60.0,CGI-3,0.0013615028243751004,0.31742138640420015,232.82303247191925,False
500,3.5,1.2,10.0,60.0,CGI-4,4.641710603893413e-05,0.17094465277472767,3682.6233388025807,False
500,3.5,1.2,20.0,60.0,CGI-1,0.22412960832621018,0.07290340445162652,0.25237001656608665,True
500,3.5,1.2,20.0,60.0,CGI-2,0.0012209808495264119,0.10589599627294889,86.62437197969352,False
500,3.5,1.2,20.0,60.0,CGI-3,0.00034072362823040034,0.07935534660105004,232.82303247191925,False
500,3.5,1.2,20.0,60.0,CGI-4,1.1604680501497572e-05,0.04273616319368192,3682.6233388025807,False
500,4.0,1.0,5.0,60.0,CGI-1,0.8002674324984932,1.0111696240795622,0.25237001656608665,True
500,4.0,1.0,5.0,60.0,CGI-2,0.01795568161042917,1.5838385435816367,86.62437197969352,False
500,4.0,1.0,5.0,60.0,CGI-3,0.006044364313774182,1.4158249909477907,232.82303247191925,False
500,4.0,1.0,5.0,60.0,CGI-4,0.00023637566622160963,0.8706883546926203,3682.6233388025807,False
500,4.0,1.0,10.0,60.0,CGI-1,0.500418072915679,0.25279240601989056,0.25237001656608665,True
500,4.0,1.0,10.0,60.0,CGI-2,0.004550196816584832,0.39595963589540917,86.62437197969352,False
500,4.0,1.0,10.0,60.0,CGI-3,0.001517972462379218,0.35395624773694767,232.82303247191925,False
500,4.0,1.0,10.0,60.0,CGI-4,5.9104394685905285e-05,0.21767208867315507,3682.6233388025807,False
500,4.0,1.0,20.0,60.0,CGI-1,0.2002677009682637,0.06319810150497264,0.25237001656608665,True
500,4.0,1.0,20.0,60.0,CGI-2,0.0011414445521719086,0.09898990897385229,86.62437197969352,False
500,4.0,1.0,20.0,60.0,CGI-3,0.0003799256531041772,0.08848906193423692,232.82303247191925,False
500,4.0,1.0,20.0,60.0,CGI-4,1.4776753699788458e-05,0.05441802216828877,3682.6233388025807,False
500,4.0,1.2,5.0,60.0,CGI-1,0.8522816675731416,1.4560842586745695,0.25237001656608665,True
500,4.0,1.2,5.0,60.0,CGI-2,0.025653505997231898,2.280727502757557,86.62437197969352,False
500,4.0,1.2,5.0,60.0,CGI-3,0.00868079785373944,2.038787986964819,232.82303247191925,False
500,4.0,1.2,5.0,60.0,CGI-4,0.0003403455616192135,1.253791230757373,3682.6233388025807,False
500,4.0,1.2,10.0,60.0,CGI-1,0.5905683514100342,0.36402106466864237,0.25237001656608665,True
500,4.0,1.2,10.0,60.0,CGI-2,0.006539191388433137,0.5701818756893893,86.62437197969352,False
500,4.0,1.2,10.0,60.0,CGI-3,0.002184421353583246,0.5096969967412047,232.82303247191925,False
500,4.0,1.2,10.0,60.0,CGI-4,8.510811503171e-05,0.31344780768934327,3682.6233388025807,False
500,4.0,1.2,20.0,60.0,CGI-1,0.265031499771224,0.09100526616716059,0.25237001656608665,True
500,4.0,1.2,20.0,60.0,CGI-2,0.001642855054828518,0.14254546892234732,86.62437197969352,False
500,4.0,1.2,20.0,60.0,CGI-3,0.0005470014997131232,0.12742424918530118,232.82303247191925,False
500,4.0,1.2,20.0,60.0,CGI-4,2.127838698048262e-05,0.07836195192233582,3682.6233388025807,False
600,3.0,1.0,5.0,60.0,CGI-1,0.741459752568799,1.0463785831026144,0.364862660238537,True
600,3.0,1.0,5.0,60.0,CGI-2,0.009481664799040857,1.3262195358575424,138.54579281282827,False
600,3.0,1.0,5.0,60.0,CGI-3,0.0022467775177393533,0.9034529948632855,401.2071199168309,False
600,3.0,1.0,5.0,60.0,CGI-4,4.2195900474238806e-05,0.41288785382356274,9784.610045254018,False
600,3.0,1.0,10.0,60.0,CGI-1,0.4175777714846029,0.2615946457756536,0.364862660238537,True
600,3.0,1.0,10.0,60.0,CGI-2,0.002387393548789979,0.3315548839643856,138.54579281282827,False
600,3.0,1.0,10.0,60.0,CGI-3,0.000562642478788739,0.22586324871582136,401.2071199168309,False
600,3.0,1.0,10.0,60.0,CGI-4,1.0549308971753285e-05,0.10322196345589069,9784.610045254018,False
600,3.0,1.0,20.0,60.0,CGI-1,0.15199753765498858,0.0653986614439134,0.364862660238537,True
600,3.0,1.0,20.0,60.0,CGI-2,0.0005979189881487487,0.0828887209910964,138.54579281282827,False
600,3.0,1.0,20.0,60.0,CGI-3,0.0001407200009848117,0.05646581217895534,401.2071199168309,False
600,3.0,1.0,20.0,60.0,CGI-4,2.6373481095883767e-06,0.02580549086397267,9784.610045254018,False
600,3.0,1.2,5.0,60.0,CGI-1,0.8050580582746584,1.5067851596677648,0.364862660238537,True
600,3.0,1.2,5.0,60.0,CGI-2,0.013596872077941106,1.909756131634861,138.54579281282827,False
600,3.0,1.2,5.0,60.0,CGI-3,0.0032321643656832676,1.3009723126031307,401.2071199168309,False
600,3.0,1.2,5.0,60.0,CGI-4,6.0760968582839335e-05,0.5945585095059303,9784.610045254018,False
600,3.0,1.2,10.0,60.0,CGI-1,0.5079788866926379,0.3766962899169412,0.364862660238537,True
600,3.0,1.2,10.0,60.0,CGI-2,0.0034342392028297213,0.47743903290871526,138.54579281282827,False
600,3.0,1.2,10.0,60.0,CGI-3,0.0008100046425270273,0.3252430781507827,401.2071199168309,False
600,3.0,1.2,10.0,60.0,CGI-4,1.5190934407626048e-05,0.14863962737648256,9784.610045254018,False
600,3.0,1.2,20.0,60.0,CGI-1,0.20515585304397843,0.0941740724792353,0.364862660238537,True
600,3.0,1.2,20.0,60.0,CGI-2,0.00086077688600253,0.11935975822717881,138.54579281282827,False
600,3.0,1.2,20.0,60.0,CGI-3,0.00020262425557253356,0.08131076953769567,401.2071199168309,False
600,3.0,1.2,20.0,60.0,CGI-4,3.7977768707410154e-06,0.03715990684412064,9784.610045254018,False
600,3.5,1.0,5.0,60.0,CGI-1,0.5755096438855928,0.4946684338911973,0.364862660238537,True
600,3.5,1.0,5.0,60.0,CGI-2,0.005196857699375013,0.7237640689697182,138.54579281282827,False
600,3.5,1.0,5.0,60.0,CGI-3,0.0013841315788673892,0.5560931504336282,401.2071199168309,False
600,3.5,1.0,5.0,60.0,CGI-4,3.230313559407628e-05,0.31608379552470733,9784.610045254018,False
600,3.5,1.0,10.0,60.0,CGI-1,0.25314139770645594,0.12366710847279933,0.364862660238537,True
600,3.5,1.0,10.0,60.0,CGI-2,0.001304298113614266,0.18094101724242956,138.54579281282827,False
600,3.5,1.0,10.0,60.0,CGI-3,0.00034639248429899777,0.13902328760840704,401.2071199168309,False
600,3.5,1.0,10.0,60.0,CGI-4,8.075979558116112e-06,0.07902094888117683,9784.610045254018,False
600,3.5,1.0,20.0,60.0,CGI-1,0.07811617835600922,0.03091677711819983,0.364862660238537,False
600,3.5,1.0,20.0,60.0,CGI-2,0.0003263938145310076,0.04523525431060739,138.54579281282827,False
600,3.5,1.0,20.0,60.0,CGI-3,8.662062462476593e-05,0.03475582190210176,401.2071199168309,False
600,3.5,1.0,20.0,60.0,CGI-4,2.019007118624191e-06,0.01975523722029421,9784.610045254018,False
600,3.5,1.2,5.0,60.0,CGI-1,0.6612814040419746,0.712322544803324,0.364862660238537,True
600,3.5,1.2,5.0,60.0,CGI-2,0.007466402281818662,1.042220259316394,138.54579281282827,False
600,3.5,1.2,5.0,60.0,CGI-3,0.0019919363486875833,0.8007741366244245,401.2071199168309,False
600,3.5,1.2,5.0,60.0,CGI-4,4.651585410797514e-05,0.45516066555557855,9784.610045254018,False
600,3.5,1.2,10.0,60.0,CGI-1,0.32799122370362993,0.178080636200831,0.364862660238537,True
600,3.5,1.2,10.0,60.0,CGI-2,0.0018771120255879747,0.2605550648290985,138.54579281282827,False
600,3.5,1.2,10.0,60.0,CGI-3,0.0004987291647354362,0.20019353415610613,401.2071199168309,False
600,3.5,1.2,10.0,60.0,CGI-4,1.1629369239525968e-05,0.11379016638889464,9784.610045254018,False
600,3.5,1.2,20.0,60.0,CGI-1,0.10874945638304113,0.04452015905020775,0.364862660238537,True
600,3.5,1.2,20.0,60.0,CGI-2,0.0004699396033575656,0.06513876620727463,138.54579281282827,False
600,3.5,1.2,20.0,60.0,CGI-3,0.00012472894565602305,0.050048383539026534,401.2071199168309,False
600,3.5,1.2,20.0,60.0,CGI-4,2.907367668020587e-06,0.02844754159722366,9784.610045254018,False
600,4.0,1.0,5.0,60.0,CGI-1,0.5492586904704513,0.44460976335484154,0.364862660238537,True
600,4.0,1.0,5.0,60.0,CGI-2,0.005346726639612276,0.7447484476031616,138.54579281282827,False
600,4.0,1.0,5.0,60.0,CGI-3,0.0015213976833728833,0.611325652225255,401.2071199168309,False
600,4.0,1.0,5.0,60.0,CGI-4,3.959067380354489e-05,0.3873946418114377,9784.610045254018,False
600,4.0,1.0,10.0,60.0,CGI-1,0.2335061232031642,0.11115244083871038,0.364862660238537,True
600,4.0,1.0,10.0,60.0,CGI-2,0.0013420633944805573,0.1861871119007904,138.54579281282827,False
600,4.0,1.0,10.0,60.0,CGI-3,0.000380783913666309,0.15283141305631376,401.2071199168309,False
600,4.0,1.0,10.0,60.0,CGI-4,9.897962351135298e-06,0.09684866045285942,9784.610045254018,False
600,4.0,1.0,20.0,60.0,CGI-1,0.07077054803166999,0.027788110209677596,0.364862660238537,False
600,4.0,1.0,20.0,60.0,CGI-2,0.0003358539015405025,0.0465467779751976,138.54579281282827,False
600,4.0,1.0,20.0,60.0,CGI-3,9.522317300594395e-05,0.03820785326407844,401.2071199168309,False
600,4.0,1.0,20.0,60.0,CGI-4,2.4745089572311963e-06,0.024212165113214855,9784.610045254018,False
600,4.0,1.2,5.0,60.0,CGI-1,0.63698895725484,0.6402380592309718,0.364862660238537,True
600,4.0,1.2,5.0,60.0,CGI-2,0.0076812158420400895,1.0724377645485528,138.54579281282827,False
600,4.0,1.2,5.0,60.0,CGI-3,0.0021893470823221286,0.8803089392043673,401.2071199168309,False
600,4.0,1.2,5.0,60.0,CGI-4,5.7009577176172236e-05,0.5578482842084702,9784.610045254018,False
600,4.0,1.2,10.0,60.0,CGI-1,0.3049204671028258,0.16005951480774294,0.364862660238537,True
600,4.0,1.2,10.0,60.0,CGI-2,0.0019314307629405994,0.2681094411371382,138.54579281282827,False
600,4.0,1.2,10.0,60.0,CGI-3,0.0005482369813571988,0.22007723480109181,401.2071199168309,False
600,4.0,1.2,10.0,60.0,CGI-4,1.4253003712329407e-05,0.13946207105211755,9784.610045254018,False
600,4.0,1.2,20.0,60.0,CGI-1,0.09883205377767063,0.040014878701935735,0.364862660238537,False
600,4.0,1.2,20.0,60.0,CGI-2,0.0004835581600646648,0.06702736028428455,138.54579281282827,False
600,4.0,1.2,20.0,60.0,CGI-3,0.00013711562423124378,0.055019308700272954,401.2071199168309,False
600,4.0,1.2,20.0,60.0,CGI-4,3.5632890187610612e-06,0.03486551776302939,9784.610045254018,False
700,3.0,1.0,5.0,60.0,CGI-1,0.560773083809989,0.7311741922745045,0.572694009292484,True
700,3.0,1.0,5.0,60.0,CGI-2,0.0030612018928807224,0.9807355180972165,319.39523196645905,False
700,3.0,1.0,5.0,60.0,CGI-3,0.0007382765942489795,0.6792718255783605,919.3984211010919,False
700,3.0,1.0,5.0,60.0,CGI-4,1.3318314868916239e-05,0.32985852229264845,24766.95680944115,False
700,3.0,1.0,10.0,60.0,CGI-1,0.24195441246857483,0.18279354806862613,0.572694009292484,True
700,3.0,1.0,10.0,60.0,CGI-2,0.0007670615709699377,0.24518387952430412,319.39523196645905,False
700,3.0,1.0,10.0,60.0,CGI-3,0.00018467140249281056,0.16981795639459013,919.3984211010919,False
700,3.0,1.0,10.0,60.0,CGI-4,3.3296119758445738e-06,0.08246463057316211,24766.95680944115,False
700,3.0,1.0,20.0,60.0,CGI-1,0.07389868842157384,0.04569838701715653,0.572694009292484,False
700,3.0,1.0,20.0,60.0,CGI-2,0.00019187577814434525,0.06129596988107603,319.39523196645905,False
700,3.0,1.0,20.0,60.0,CGI-3,4.6174245920267496e-05,0.04245448909864753,919.3984211010919,False
700,3.0,1.0,20.0,60.0,CGI-4,8.324050726505674e-07,0.020616157643290528,24766.95680944115,False
700,3.0,1.2,5.0,60.0,CGI-1,0.6476997121112567,1.0528908368752863,0.572694009292484,True
700,3.0,1.2,5.0,60.0,CGI-2,0.004402201273924305,1.4122591460599914,319.39523196645905,False
700,3.0,1.2,5.0,60.0,CGI-3,0.0010627730627085642,0.9781514288328391,919.3984211010919,False
700,3.0,1.2,5.0,60.0,CGI-4,1.917826102550703e-05,0.4749962721014137,24766.95680944115,False
700,3.0,1.2,10.0,60.0,CGI-1,0.31489106915770043,0.26322270921882157,0.572694009292484,True
700,3.0,1.2,10.0,60.0,CGI-2,0.0011041959882205812,0.35306478651499784,319.39523196645905,False
700,3.0,1.2,10.0,60.0,CGI-3,0.00026590521335062816,0.24453785720820978,919.3984211010919,False
700,3.0,1.2,10.0,60.0,CGI-4,4.794634220936717e-06,0.11874906802535343,24766.95680944115,False
700,3.0,1.2,20.0,60.0,CGI-1,0.10306297510560916,0.06580567730470539,0.572694009292484,True
700,3.0,1.2,20.0,60.0,CGI-2,0.00027627779568036384,0.08826619662874946,319.39523196645905,False
700,3.0,1.2,20.0,60.0,CGI-3,6.648956327878896e-05,0.061134464302052445,919.3984211010919,False
700,3.0,1.2,20.0,60.0,CGI-4,1.198662865596675e-06,0.029687267006338357,24766.95680944115,False
700,3.5,1.0,5.0,60.0,CGI-1,0.38999207461017743,0.3661364311915585,0.572694009292484,True
700,3.5,1.0,5.0,60.0,CGI-2,0.0017338523322375436,0.554746015523411,319.39523196645905,False
700,3.5,1.0,5.0,60.0,CGI-3,0.00047026825853166036,0.43256731706686335,919.3984211010919,False
700,3.5,1.0,5.0,60.0,CGI-4,1.0472802800191844e-05,0.25938217108447337,24766.95680944115,False
700,3.5,1.0,10.0,60.0,CGI-1,0.13780522902109496,0.09153410779788962,0.572694009292484,True
700,3.5,1.0,10.0,60.0,CGI-2,0.00043402748773828853,0.13868650388085274,319.39523196645905,False
700,3.5,1.0,10.0,60.0,CGI-3,0.00011760854530725764,0.10814182926671584,919.3984211010919,False
700,3.5,1.0,10.0,60.0,CGI-4,2.6182212651342083e-06,0.06484554277111834,24766.95680944115,False
700,3.5,1.0,20.0,60.0,CGI-1,0.03842241447497418,0.022883526949472405,0.572694009292484,False
700,3.5,1.0,20.0,60.0,CGI-2,0.00010854220465987372,0.034671625970213185,319.39523196645905,False
700,3.5,1.0,20.0,60.0,CGI-3,2.9404730012455852e-05,0.02703545731667896,919.3984211010919,False
700,3.5,1.0,20.0,60.0,CGI-4,6.545566016140623e-07,0.016211385692779585,24766.95680944115,False
700,3.5,1.2,5.0,60.0,CGI-1,0.4793361718727411,0.5272364609158441,0.572694009292484,True
700,3.5,1.2,5.0,60.0,CGI-2,0.00249484405430193,0.7988342623537119,319.39523196645905,False
700,3.5,1.2,5.0,60.0,CGI-3,0.0006770461992172881,0.6228969365762831,919.3984211010919,False
700,3.5,1.2,5.0,60.0,CGI-4,1.5080766539602874e-05,0.37351032636164166,24766.95680944115,False
700,3.5,1.2,10.0,60.0,CGI-1,0.18709514641045252,0.13180911522896102,0.572694009292484,True
700,3.5,1.2,10.0,60.0,CGI-2,0.000624880247653364,0.19970856558842798,319.39523196645905,False
700,3.5,1.2,10.0,60.0,CGI-3,0.00016934754188650784,0.15572423414407077,919.3984211010919,False
700,3.5,1.2,10.0,60.0,CGI-4,3.770234278417933e-06,0.09337758159041042,24766.95680944115,False
700,3.5,1.2,20.0,60.0,CGI-1,0.054408454992156095,0.032952278807240255,0.572694009292484,False
700,3.5,1.2,20.0,60.0,CGI-2,0.00015629331036520668,0.049927141397106994,319.39523196645905,False
700,3.5,1.2,20.0,60.0,CGI-3,4.2342263390294244e-05,0.03893105853601769,919.3984211010919,False
700,3.5,1.2,20.0,60.0,CGI-4,9.425612348619911e-07,0.023344395397602604,24766.95680944115,False
700,4.0,1.0,5.0,60.0,CGI-1,0.468405194106144,0.5046190173642031,0.572694009292484,True
700,4.0,1.0,5.0,60.0,CGI-2,0.0024529578762214925,0.7853895774295745,319.39523196645905,False
700,4.0,1.0,5.0,60.0,CGI-3,0.0007524282561162419,0.6923022584461488,919.3984211010919,False
700,4.0,1.0,5.0,60.0,CGI-4,1.785057281821651e-05,0.4421122579696072,24766.95680944115,False
700,4.0,1.0,10.0,60.0,CGI-1,0.18051796169049866,0.12615475434105078,0.572694009292484,True
700,4.0,1.0,10.0,60.0,CGI-2,0.0006143697363681754,0.19634739435739362,319.39523196645905,False
700,4.0,1.0,10.0,60.0,CGI-3,0.00018821327676977383,0.1730755646115372,919.3984211010919,False
700,4.0,1.0,10.0,60.0,CGI-4,4.46270295090712e-06,0.1105280644924018,24766.95680944115,False
700,4.0,1.0,20.0,60.0,CGI-1,0.05219626262536997,0.031538688585262695,0.572694009292484,False
700,4.0,1.0,20.0,60.0,CGI-2,0.00015366323862459633,0.049086848589348406,319.39523196645905,False
700,4.0,1.0,20.0,60.0,CGI-3,4.705996217470763e-05,0.0432688911528843,919.3984211010919,False
700,4.0,1.0,20.0,60.0,CGI-4,1.1156794719363339e-06,0.02763201612310045,24766.95680944115,False
700,4.0,1.2,5.0,60.0,CGI-1,0.5592442072707208,0.7266513850044524,0.572694009292484,True
700,4.0,1.2,5.0,60.0,CGI-2,0.0035284510793379426,1.1309609914985872,319.39523196645905,False
700,4.0,1.2,5.0,60.0,CGI-3,0.0010831380959755656,0.9969152521624542,919.3984211010919,False
700,4.0,1.2,5.0,60.0,CGI-4,2.570462296764439e-05,0.6366416514762343,24766.95680944115,False
700,4.0,1.2,10.0,60.0,CGI-1,0.24081818162864713,0.1816628462511131,0.572694009292484,True
700,4.0,1.2,10.0,60.0,CGI-2,0.0008844533325714374,0.2827402478746468,319.39523196645905,False
700,4.0,1.2,10.0,60.0,CGI-3,0.000271004675610147,0.24922881304061356,919.3984211010919,False
700,4.0,1.2,10.0,60.0,CGI-4,6.426279630732341e-06,0.15916041286905858,24766.95680944115,False
700,4.0,1.2,20.0,60.0,CGI-1,0.07347516149711696,0.04541571156277827,0.572694009292484,False
700,4.0,1.2,20.0,60.0,CGI-2,0.00022126010382000086,0.0706850619686617,319.39523196645905,False
700,4.0,1.2,20.0,60.0,CGI-3,6.776494236470423e-05,0.06230720326015339,919.3984211010919,False
700,4.0,1.2,20.0,60.0,CGI-4,1.6065776509210105e-06,0.039790103217264644,24766.95680944115,False
800,3.0,1.0,5.0,60.0,CGI-1,0.4233800371800636,0.5122961852088949,0.6977187900390174,True
800,3.0,1.0,5.0,60.0,CGI-2,0.001355793489615983,0.8216354312293883,605.1964916082429,False
800,3.0,1.0,5.0,60.0,CGI-3,0.00037728823098187993,0.6401553742369575,1696.0874965087137,False
800,3.0,1.0,5.0,60.0,CGI-4,7.703102917591852e-06,0.3839085879960471,49837.790668997004,False
800,3.0,1.0,10.0,60.0,CGI-1,0.15509222248726298,0.12807404630222372,0.6977187900390174,True
800,3.0,1.0,10.0,60.0,CGI-2,0.0003392933812219937,0.20540885780734708,605.1964916082429,False
800,3.0,1.0,10.0,60.0,CGI-3,9.434875525169317e-05,0.16003884355923936,1696.0874965087137,False
800,3.0,1.0,10.0,60.0,CGI-4,1.9257868552987207e-06,0.09597714699901178,49837.790668997004,False
800,3.0,1.0,20.0,60.0,CGI-1,0.043876764288619585,0.03201851157555593,0.6977187900390174,False
800,3.0,1.0,20.0,60.0,CGI-2,8.484493579935862e-05,0.05135221445183677,605.1964916082429,False
800,3.0,1.0,20.0,60.0,CGI-3,2.3588857997465697e-05,0.04000971088980984,1696.0874965087137,False
800,3.0,1.0,20.0,60.0,CGI-4,4.814474091984993e-07,0.023994286749752944,49837.790668997004,False
800,3.0,1.2,5.0,60.0,CGI-1,0.5139288741645462,0.7377065067008084,0.6977187900390174,True
800,3.0,1.2,5.0,60.0,CGI-2,0.0019511786511096246,1.183155020970319,605.1964916082429,False
800,3.0,1.2,5.0,60.0,CGI-3,0.0005432048768987982,0.9218237389012187,1696.0874965087137,False
800,3.0,1.2,5.0,60.0,CGI-4,1.1092430605033062e-05,0.5528283667143078,49837.790668997004,False
800,3.0,1.2,10.0,60.0,CGI-1,0.20906601471914588,0.1844266266752021,0.6977187900390174,True
800,3.0,1.2,10.0,60.0,CGI-2,0.0004885095398161206,0.29578875524257975,605.1964916082429,False
800,3.0,1.2,10.0,60.0,CGI-3,0.00013585656768729437,0.23045593472530468,1696.0874965087137,False
800,3.0,1.2,10.0,60.0,CGI-4,2.773130721828333e-06,0.13820709167857695,49837.790668997004,False
800,3.0,1.2,20.0,60.0,CGI-1,0.061985855516061256,0.046106656668800525,0.6977187900390174,False
800,3.0,1.2,20.0,60.0,CGI-2,0.0001221721466483833,0.07394718881064494,605.1964916082429,False
800,3.0,1.2,20.0,60.0,CGI-3,3.396760296328697e-05,0.05761398368132617,1696.0874965087137,False
800,3.0,1.2,20.0,60.0,CGI-4,6.932841223827074e-07,0.03455177291964424,49837.790668997004,False
800,3.5,1.0,5.0,60.0,CGI-1,0.3309006584523799,0.3450543031539916,0.6977187900390174,True
800,3.5,1.0,5.0,60.0,CGI-2,0.0010627626331997633,0.6438644921479337,605.1964916082429,False
800,3.5,1.0,5.0,60.0,CGI-3,0.00032810741034163096,0.5566815275266759,1696.0874965087137,False
800,3.5,1.0,5.0,60.0,CGI-4,7.742264846218588e-06,0.38586036214289365,49837.790668997004,False
800,3.5,1.0,10.0,60.0,CGI-1,0.110032546073207,0.0862635757884979,0.6977187900390174,True
800,3.5,1.0,10.0,60.0,CGI-2,0.0002659026018118981,0.16096612303698343,605.1964916082429,False
800,3.5,1.0,10.0,60.0,CGI-3,8.204704276745419e-05,0.13917038188166897,1696.0874965087137,False
800,3.5,1.0,10.0,60.0,CGI-4,1.9355774508695885e-06,0.09646509053572341,49837.790668997004,False
800,3.5,1.0,20.0,60.0,CGI-1,0.029982417848257666,0.021565893947124475,0.6977187900390174,False
800,3.5,1.0,20.0,60.0,CGI-2,6.648891013362164e-05,0.04024153075924586,605.1964916082429,False
800,3.5,1.0,20.0,60.0,CGI-3,2.051302296651802e-05,0.03479259547041724,1696.0874965087137,False
800,3.5,1.0,20.0,60.0,CGI-4,4.838950651796796e-07,0.024116272633930853,49837.790668997004,False
800,3.5,1.2,5.0,60.0,CGI-1,0.4159379289612451,0.4968781965417478,0.6977187900390174,True
800,3.5,1.2,5.0,60.0,CGI-2,0.0015296628976372987,0.9271648686930244,605.1964916082429,False
800,3.5,1.2,5.0,60.0,CGI-3,0.00047240647086388367,0.8016213996384132,1696.0874965087137,False
800,3.5,1.2,5.0,60.0,CGI-4,1.1148823399011638e-05,0.5556389214857669,49837.790668997004,False
