T_eff,logg,R_p_Rj,a_AU,phase_deg,band,Fp_ref_band,Fp_th_band_hybrid_irflux,Fp_th_band_james_picaso,thermal_ratio_james_to_hybrid,f_reflect_hybrid_irflux,f_reflect_james_picaso,delta_f_reflect_james_minus_hybrid,decision_hybrid_irflux,decision_james_picaso,decision_changed,T_eff_key,temperature_k,thermal_gravity_code,thermal_logg_cgs,thermal_pt_file,thermal_cld_file
500,3.0,1.2,5.0,60.0,CGI-4,0.8640721727452494,2240.2864772681437,2434.466368210139,1.0866763661309882,0.0003855484732878,0.0003548069528541677,-3.0741520433632315e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,10.0,60.0,CGI-1,0.5720841556251683,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.7876047567067588,0.8264858881762946,0.03888113146953587,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,10.0,60.0,CGI-2,0.7473602816272277,48.74203889394567,50.68556705521989,1.0398737559071545,0.015101421598913,0.014530774745380096,-0.0005706468535329034,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,10.0,60.0,CGI-3,0.5016385785121846,140.03440500190615,147.19546427247022,1.0511378562323066,0.0035694656383658,0.0033964009369791648,-0.00017306470138663509,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,10.0,60.0,CGI-4,0.2160180431863123,2240.2864772681437,2434.466368210139,1.0866763661309882,9.641499781337912e-05,8.872534849144626e-05,-7.689649321932865e-06,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,20.0,60.0,CGI-1,0.1430210389062921,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.4810723318267747,0.5435467786039782,0.06247444677720343,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,20.0,60.0,CGI-2,0.1868400704068069,48.74203889394567,50.68556705521989,1.0398737559071545,0.0038186051747257,0.0036727192787519426,-0.00014588589597375754,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,20.0,60.0,CGI-3,0.1254096446280461,140.03440500190615,147.19546427247022,1.0511378562323066,0.0008947617756509,0.0008512686715299949,-4.3493104120905066e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.0,1.2,20.0,60.0,CGI-4,0.054004510796578,2240.2864772681437,2434.466368210139,1.0866763661309882,2.410549255160352e-05,2.218281325623905e-05,-1.9226792953644717e-06,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,5.0,60.0,CGI-1,0.8100378272402968,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.8400153554984351,0.8708751378505749,0.03085978235213982,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,5.0,60.0,CGI-2,1.1766221808105437,48.74203889394567,50.68556705521989,1.0398737559071545,0.0235707880675821,0.022687476139034716,-0.0008833119285473826,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,5.0,60.0,CGI-3,0.881726073345,140.03440500190615,147.19546427247022,1.0511378562323066,0.0062570982230142,0.005954502994592498,-0.0003025952284217018,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,5.0,60.0,CGI-4,0.4748462577075768,2240.2864772681437,2434.466368210139,1.0866763661309882,0.0002119129122419,0.00019501343806008634,-1.689947418181365e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,10.0,60.0,CGI-1,0.2025094568100742,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.5675956098911712,0.6277144949584554,0.060118885067284245,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
