fsed,fsed_numeric,gravity_code,logg,pt_file,pt_path,pt_exists,cld_file,cld_path,cld_exists,egp_irflux_file,egp_irflux_path,egp_irflux_exists,related_pt_files,related_cld_files
0.3,0.3,31,3.4913616938342726,SLGRID_T1000_g31_m+000_CO100_fsed0.3_full.pt,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/slgrid/climate/SLGRID_T1000_g31_m+000_CO100_fsed0.3_full.pt,True,SLGRID_T1000_g31_m+000_CO100_fsed0.3_picaso.cld,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/slgrid/clouds/SLGRID_T1000_g31_m+000_CO100_fsed0.3_picaso.cld,True,SLGRID_T1000_g31_m+000_CO100_fsed0.3_IRflux.txt,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/egp/irflux/SLGRID_T1000_g31_m+000_CO100_fsed0.3_IRflux.txt,False,"SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac10_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac25_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac50_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac75_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed0.3_full.pt","SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac10_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac25_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac50_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed0.3_frac75_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed0.3_picaso.cld"
8,8.0,31,3.4913616938342726,SLGRID_T1000_g31_m+000_CO100_fsed8_full.pt,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/slgrid/climate/SLGRID_T1000_g31_m+000_CO100_fsed8_full.pt,True,SLGRID_T1000_g31_m+000_CO100_fsed8_picaso.cld,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/slgrid/clouds/SLGRID_T1000_g31_m+000_CO100_fsed8_picaso.cld,True,SLGRID_T1000_g31_m+000_CO100_fsed8_IRflux.txt,/Users/dhuang/Documents/daniel/research/aurora/science_inputs/egp/irflux/SLGRID_T1000_g31_m+000_CO100_fsed8_IRflux.txt,False,"SLGRID_T1000_g31_m+000_CO100_fsed8_frac10_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed8_frac25_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed8_frac50_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed8_frac75_full.pt, SLGRID_T1000_g31_m+000_CO100_fsed8_full.pt","SLGRID_T1000_g31_m+000_CO100_fsed8_frac10_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed8_frac25_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed8_frac50_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed8_frac75_picaso.cld, SLGRID_T1000_g31_m+000_CO100_fsed8_picaso.cld"
